"","myel","epi","fib","endo","Immune"
"BLM1",0.0873249645988417,0.355516348963878,0.19822610243037,0.32678119545113,0.0321513885557807
"BLM2",0.136162747738825,0.126821372451913,0.413861729923937,0.323152393868309,1.75601701652097e-06
"BLM3",0.0840156249833916,0.345013036506438,0.209415713408872,0.336398620003104,0.0251570050981944
"LCC_6_1",0.0297415490482358,0.331304792289068,0.171859228409478,0.449667249223505,0.0174271810297133
"LCC_6_2",0.0244606227910276,0.319070442426536,0.162557397429941,0.473100411375543,0.0208111259769519
"LCC_6_3",0.0251447502295826,0.307547220723639,0.159814269432312,0.485344429399718,0.0221493302147479
